timestamp_ms,estado
1750247167105,ON
1750247170189,OFF
1750247173510,ON
1750247175848,OFF
1750247178836,ON
1750247182512,OFF
1750247184706,ON
1750247185767,OFF
1750247186226,ON
1750247186636,OFF
1750247186871,ON
1750247187203,OFF
1750247187454,ON
1750247187738,OFF
1750247187974,ON
1750247188526,OFF
1750247188749,ON
1750247189049,OFF
1750247189266,ON
1750247189569,OFF
1750247189789,ON
1750247190103,OFF
1750247190323,ON
1750247190639,OFF
1750247190875,ON
1750247191175,OFF
1750247191426,ON
1750247191709,OFF
1750247191961,ON
1750247192262,OFF
1750247192563,ON
1750247192799,OFF
1750247193019,ON
1750247193384,OFF
1750247193686,ON
1750247193953,OFF
1750247194205,ON
1750247194424,OFF
1750247194689,ON
1750247194907,OFF
