emg_timestamp_ms;fes_timestamp_ms;estado
1750679808411;1750679808411;ON
1750679811521;1750679811521;OFF
1750679816236;1750679816236;ON
1750679819145;1750679819145;OFF
1750679823119;1750679823119;ON
1750679826189;1750679826189;OFF
1750679830214;1750679830214;ON
1750679833751;1750679833751;OFF
1750679837990;1750679837990;ON
1750679840826;1750679840826;OFF
1750679851530;1750679851530;ON
1750679851886;1750679851886;OFF
1750679853759;1750679853759;ON
1750679853972;1750679853972;OFF
1750679854176;1750679854176;ON
1750679854394;1750679854394;OFF
1750679854655;1750679854655;ON
1750679855556;1750679855556;OFF
1750679856091;1750679856091;ON
1750679856666;1750679856666;OFF
1750679857329;1750679857329;ON
1750679857690;1750679857690;OFF
1750679858689;1750679858689;ON
1750679859075;1750679859075;OFF
1750679859545;1750679859545;ON
1750679860284;1750679860284;OFF
