emg_timestamp_ms;fes_timestamp_ms;estado
1750672005188;1750672005188;ON
1750672006789;1750672006789;OFF
1750672006946;1750672006946;ON
1750672007713;1750672007713;OFF
1750672007729;1750672007729;ON
1750672008665;1750672008665;OFF
1750672008741;1750672008741;ON
1750672009773;1750672009773;OFF
1750672009802;1750672009802;ON
1750672010476;1750672010476;OFF
1750672010589;1750672010589;ON
1750672010753;1750672010753;OFF
1750672010849;1750672010849;ON
1750672010903;1750672010903;OFF
1750672011312;1750672011312;ON
1750672011465;1750672011465;OFF
1750672011536;1750672011536;ON
1750672011629;1750672011629;OFF
1750672011715;1750672011715;ON
1750672011828;1750672011828;OFF
1750672011960;1750672011960;ON
1750672012083;1750672012083;OFF
1750672012546;1750672012546;ON
1750672012571;1750672012571;OFF
1750672012588;1750672012588;ON
1750672012961;1750672012961;OFF
1750672012968;1750672012968;ON
1750672012972;1750672012972;OFF
1750672013689;1750672013689;ON
1750672013713;1750672013713;OFF
1750672020479;1750672020479;ON
1750672020572;1750672020572;OFF
1750672021034;1750672021034;ON
1750672024832;1750672024832;OFF
1750672024914;1750672024914;ON
1750672026299;1750672026299;OFF
1750672026319;1750672026319;ON
1750672026356;1750672026356;OFF
1750672026508;1750672026508;ON
1750672026526;1750672026526;OFF
1750672026551;1750672026551;ON
1750672027117;1750672027117;OFF
1750672027163;1750672027163;ON
1750672027271;1750672027271;OFF
1750672027334;1750672027334;ON
1750672027394;1750672027394;OFF
1750672027846;1750672027846;ON
