emg_timestamp_ms;fes_timestamp_ms;estado
1750671896749;1750671896749;ON
1750671897644;1750671897644;OFF
1750671897645;1750671897645;ON
1750671898299;1750671898299;OFF
1750671898328;1750671898328;ON
1750671898560;1750671898560;OFF
1750671898583;1750671898583;ON
1750671898648;1750671898648;OFF
1750671898662;1750671898662;ON
1750671899138;1750671899138;OFF
1750671899161;1750671899161;ON
1750671900857;1750671900857;OFF
1750671900899;1750671900899;ON
1750671901659;1750671901659;OFF
1750671901659;1750671901659;ON
1750671902273;1750671902273;OFF
1750671902310;1750671902310;ON
1750671902533;1750671902533;OFF
1750671902542;1750671902542;ON
1750671902763;1750671902763;OFF
1750671902819;1750671902819;ON
1750671902958;1750671902958;OFF
1750671902981;1750671902981;ON
1750671903070;1750671903070;OFF
1750671903097;1750671903097;ON
1750671903249;1750671903249;OFF
1750671903271;1750671903271;ON
1750671904003;1750671904003;OFF
1750671904037;1750671904037;ON
1750671904646;1750671904646;OFF
1750671904646;1750671904646;ON
1750671904709;1750671904709;OFF
1750671904750;1750671904750;ON
1750671904901;1750671904901;OFF
1750671904960;1750671904960;ON
1750671904988;1750671904988;OFF
1750671905017;1750671905017;ON
1750671905294;1750671905294;OFF
1750671905368;1750671905368;ON
1750671905831;1750671905831;OFF
1750671905848;1750671905848;ON
1750671906115;1750671906115;OFF
1750671906128;1750671906128;ON
1750671906288;1750671906288;OFF
1750671906294;1750671906294;ON
1750671906477;1750671906477;OFF
1750671906490;1750671906490;ON
1750671906553;1750671906553;OFF
1750671906567;1750671906567;ON
1750671906667;1750671906667;OFF
1750671906695;1750671906695;ON
1750671906842;1750671906842;OFF
1750671906876;1750671906876;ON
1750671906997;1750671906997;OFF
1750671907034;1750671907034;ON
1750671907409;1750671907409;OFF
1750671907436;1750671907436;ON
1750671907495;1750671907495;OFF
1750671908194;1750671908194;ON
