emg_timestamp_ms;fes_timestamp_ms;estado
1750672596991;1750672596991;ON
1750672598735;1750672598735;OFF
1750672599001;1750672599001;ON
1750672600372;1750672600372;OFF
1750672600786;1750672600786;ON
1750672605561;1750672605561;OFF
1750672607894;1750672607894;ON
1750672608480;1750672608480;OFF
1750672608608;1750672608608;ON
1750672608882;1750672608882;OFF
1750672610925;1750672610925;ON
1750672611539;1750672611539;OFF
1750672612130;1750672612130;ON
1750672612555;1750672612555;OFF
1750672614547;1750672614547;ON
1750672615195;1750672615195;OFF
1750672615475;1750672615475;ON
1750672615611;1750672615611;OFF
1750672615881;1750672615881;ON
1750672618476;1750672618476;OFF
1750672618771;1750672618771;ON
1750672619858;1750672619858;OFF
1750672619987;1750672619987;ON
1750672620321;1750672620321;OFF
1750672622953;1750672622953;ON
1750672625175;1750672625175;OFF
1750672625460;1750672625460;ON
1750672625752;1750672625752;OFF
1750672627683;1750672627683;ON
1750672630059;1750672630059;OFF
1750672630149;1750672630149;ON
1750672630372;1750672630372;OFF
1750672634282;1750672634282;ON
1750672635093;1750672635093;OFF
1750672635319;1750672635319;ON
1750672635792;1750672635792;OFF
1750672638078;1750672638078;ON
1750672638379;1750672638379;OFF
1750672638600;1750672638600;ON
1750672638834;1750672638834;OFF
1750672640411;1750672640411;ON
1750672641299;1750672641299;OFF
1750672642125;1750672642125;ON
1750672644041;1750672644041;OFF
1750672644201;1750672644201;ON
1750672644344;1750672644344;OFF
1750672644362;1750672644362;ON
1750672644446;1750672644446;OFF
1750672644538;1750672644538;ON
1750672644566;1750672644566;OFF
1750672644884;1750672644884;ON
1750672645161;1750672645161;OFF
1750672645394;1750672645394;ON
1750672646294;1750672646294;OFF
1750672646301;1750672646301;ON
1750672646777;1750672646777;OFF
1750672652518;1750672652518;ON
1750672653086;1750672653086;OFF
1750672653157;1750672653157;ON
1750672653375;1750672653375;OFF
1750672653843;1750672653843;ON
1750672654293;1750672654293;OFF
1750672656680;1750672656680;ON
1750672660231;1750672660231;OFF
1750672663371;1750672663371;ON
1750672663809;1750672663809;OFF
1750672668663;1750672668663;ON
1750672668859;1750672668859;OFF
