emg_timestamp_ms;fes_timestamp_ms;estado
1750672835549;1750672835549;ON
1750672837651;1750672837651;OFF
1750672840642;1750672840642;ON
1750672842693;1750672842693;OFF
1750672842904;1750672842904;ON
1750672843131;1750672843131;OFF
1750672847418;1750672847418;ON
1750672850344;1750672850344;OFF
1750672850567;1750672850567;ON
1750672850783;1750672850783;OFF
1750672859098;1750672859098;ON
1750672861766;1750672861766;OFF
1750672861991;1750672861991;ON
1750672862210;1750672862210;OFF
1750672866170;1750672866170;ON
1750672868324;1750672868324;OFF
1750672871455;1750672871455;ON
1750672873413;1750672873413;OFF
1750672873649;1750672873649;ON
1750672873857;1750672873857;OFF
1750672876718;1750672876718;ON
1750672878780;1750672878780;OFF
1750672881412;1750672881412;ON
1750672884746;1750672884746;OFF
1750672885474;1750672885474;ON
1750672885690;1750672885690;OFF
1750672885899;1750672885899;ON
1750672886116;1750672886116;OFF
1750672887729;1750672887729;ON
1750672888460;1750672888460;OFF
