emg_timestamp_ms;fes_timestamp_ms;estado
1750687205976;1750687205976;ON
1750687207555;1750687207555;OFF
1750687207767;1750687207767;ON
1750687207990;1750687207990;OFF
1750687212812;1750687212812;ON
1750687214600;1750687214600;OFF
1750687214806;1750687214806;ON
1750687215014;1750687215014;OFF
1750687220067;1750687220067;ON
1750687221795;1750687221795;OFF
1750687226317;1750687226317;ON
1750687227698;1750687227698;OFF
1750687227920;1750687227920;ON
1750687228150;1750687228150;OFF
1750687230153;1750687230153;ON
1750687230376;1750687230376;OFF
1750687230596;1750687230596;ON
1750687231098;1750687231098;OFF
1750687231310;1750687231310;ON
1750687231808;1750687231808;OFF
1750687237754;1750687237754;ON
1750687239489;1750687239489;OFF
1750687240202;1750687240202;ON
1750687240411;1750687240411;OFF
1750687247203;1750687247203;ON
1750687248425;1750687248425;OFF
1750687248645;1750687248645;ON
1750687249160;1750687249160;OFF
1750687254576;1750687254576;ON
1750687255349;1750687255349;OFF
1750687255560;1750687255560;ON
1750687255784;1750687255784;OFF
1750687259582;1750687259582;ON
1750687259810;1750687259810;OFF
