emg_timestamp_ms;fes_timestamp_ms;estado
1750673252943;1750673252943;ON
1750673253968;1750673253968;OFF
1750673258700;1750673258700;ON
1750673260619;1750673260619;OFF
1750673267081;1750673267081;ON
1750673269087;1750673269087;OFF
1750673276157;1750673276157;ON
1750673281884;1750673281884;OFF
1750673285393;1750673285393;ON
1750673290212;1750673290212;OFF
1750673294744;1750673294744;ON
1750673298861;1750673298861;OFF
1750673302542;1750673302542;ON
1750673307282;1750673307282;OFF
1750673310198;1750673310198;ON
1750673313609;1750673313609;OFF
1750673315771;1750673315771;ON
1750673318309;1750673318309;OFF
1750673321656;1750673321656;ON
1750673324351;1750673324351;OFF
