emg_timestamp_ms;fes_timestamp_ms;estado
1750684877568;1750684877568;ON
1750684880738;1750684880738;OFF
1750684885833;1750684885833;ON
1750684888316;1750684888316;OFF
1750684888523;1750684888523;ON
1750684888729;1750684888729;OFF
1750684892575;1750684892575;ON
1750684894271;1750684894271;OFF
1750684894479;1750684894479;ON
1750684895231;1750684895231;OFF
1750684899477;1750684899477;ON
1750684900843;1750684900843;OFF
1750684901051;1750684901051;ON
1750684901833;1750684901833;OFF
1750684906176;1750684906176;ON
1750684910115;1750684910115;OFF
1750684910330;1750684910330;ON
1750684910567;1750684910567;OFF
1750684910783;1750684910783;ON
1750684911003;1750684911003;OFF
1750684918577;1750684918577;ON
