emg_timestamp_ms;fes_timestamp_ms;estado
1750676825079;1750676825079;ON
1750676825325;1750676825325;OFF
1750676829175;1750676829175;ON
1750676831649;1750676831649;OFF
1750676831863;1750676831863;ON
1750676832071;1750676832071;OFF
1750676836476;1750676836476;ON
1750676838892;1750676838892;OFF
1750676842743;1750676842743;ON
1750676845276;1750676845276;OFF
1750676845485;1750676845485;ON
1750676845710;1750676845710;OFF
1750676845919;1750676845919;ON
1750676846122;1750676846122;OFF
1750676846335;1750676846335;ON
1750676846546;1750676846546;OFF
1750676850531;1750676850531;ON
1750676854277;1750676854277;OFF
1750676854500;1750676854500;ON
1750676854720;1750676854720;OFF
1750676859136;1750676859136;ON
1750676862129;1750676862129;OFF
1750676862342;1750676862342;ON
1750676862553;1750676862553;OFF
1750676862768;1750676862768;ON
1750676863063;1750676863063;OFF
