emg_timestamp_ms;fes_timestamp_ms;estado
1750678462801;1750678462801;ON
1750678465645;1750678465645;OFF
1750678470476;1750678470476;ON
1750678473693;1750678473693;OFF
1750678479432;1750678479432;ON
1750678482882;1750678482882;OFF
1750678488499;1750678488499;ON
1750678492533;1750678492533;OFF
1750678498420;1750678498420;ON
1750678501219;1750678501219;OFF
1750678561946;1750678561946;ON
1750678562163;1750678562163;OFF
1750678567362;1750678567362;ON
1750678567578;1750678567578;OFF
1750678567810;1750678567810;ON
1750678568045;1750678568045;OFF
1750678575157;1750678575157;ON
1750678575837;1750678575837;OFF
1750678576578;1750678576578;ON
1750678580009;1750678580009;OFF
1750678580215;1750678580215;ON
